Unnamed: 0,Results.reception.time,MD5.hash.of.participant.s.IP.address,Controller.name,Order.number.of.item,Inner.element.number,Label,Latin.Square.Group,PennElementType,PennElementName,Parameter,Value,EventTime,condition,itemLabel,filename,Comments,response
713,1651008132,59e908e804691fafd3e79848cdc794e3,PennController,4,0,experimental-trials,,Selector,answer-alt,Selection,IT,1651007143238,IT ONLY,nostril_it,anapest_clean_3a.png,alt2;alt1;IT,0
29,1651000826,decefc1e3a8a8eedeaa45693ea8d643a,PennController,2,0,experimental-trials,,Selector,answer-alt,Selection,IT,1651000439021,IT ONLY,weightless_it,anapest_clean_1a.jpg,alt2;IT;alt1,0
67,1651000826,decefc1e3a8a8eedeaa45693ea8d643a,PennController,10,0,experimental-trials,,Selector,answer-alt,Selection,IT,1651000584799,IT ONLY,exhausted_it,trochaic_clean_3a.png,IT;alt1;alt2,0
76,1651000826,decefc1e3a8a8eedeaa45693ea8d643a,PennController,6,0,experimental-trials,,Selector,answer-alt,Selection,IT,1651000614089,IT ONLY,adhesive_it,iambic_clean_1b.jpg,IT;alt1;alt2,0
130,1651001072,a324636b0d304529099de5d85d5a67e8,PennController,2,0,experimental-trials,,Selector,answer-alt,Selection,IT,1651000594049,IT ONLY,weightless_it,anapest_clean_1a.jpg,alt2;alt1;IT,0
139,1651001072,a324636b0d304529099de5d85d5a67e8,PennController,6,0,experimental-trials,,Selector,answer-alt,Selection,IT,1651000641904,IT ONLY,adhesive_it,iambic_clean_1b.jpg,alt1;alt2;IT,0
175,1651001072,a324636b0d304529099de5d85d5a67e8,PennController,10,0,experimental-trials,,Selector,answer-alt,Selection,IT,1651000802212,IT ONLY,exhausted_it,trochaic_clean_3a.png,IT;alt2;alt1,0
246,1651001162,a0e4f7ac5011c01e4c10521dfae9d3c9,PennController,2,0,experimental-trials,,Selector,answer-alt,Selection,IT,1651000707873,IT ONLY,weightless_it,anapest_clean_1a.jpg,alt1;IT;alt2,0
282,1651001162,a0e4f7ac5011c01e4c10521dfae9d3c9,PennController,6,0,experimental-trials,,Selector,answer-alt,Selection,IT,1651000877354,IT ONLY,adhesive_it,iambic_clean_1b.jpg,IT;alt2;alt1,0
299,1651001162,a0e4f7ac5011c01e4c10521dfae9d3c9,PennController,10,0,experimental-trials,,Selector,answer-alt,Selection,IT,1651000943389,IT ONLY,exhausted_it,trochaic_clean_3a.png,alt1;IT;alt2,0
359,1651001488,f67d7fee8be0ac4885ad8590ad784f0d,PennController,3,0,experimental-trials,,Selector,answer-alt,Selection,IT,1651001064092,IT ONLY,alcohol_it,trochaic_clean_1b.jpg,alt2;alt1;IT,0
