"","Results.reception.time","MD5.hash.of.participant.s.IP.address","Controller.name","Order.number.of.item","Inner.element.number","Label","Latin.Square.Group","PennElementType","PennElementName","Parameter","Value","EventTime","condition","itemLabel","filename","Comments"
"1",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",0,0,"consent","NULL","PennController","0","_Trial_","Start",1651000252728,"NULL","","",""
"2",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",0,0,"consent","NULL","PennController","0","_Trial_","End",1651000269412,"NULL","","",""
"3",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",1,0,"instructions","NULL","PennController","1","_Trial_","Start",1651000269413,"NULL","","",""
"4",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",1,0,"instructions","NULL","PennController","1","_Trial_","End",1651000290918,"NULL","","",""
"5",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",14,0,"fillers","NULL","PennController","19","_Trial_","Start",1651000290920,"f_rhyme","f1_f_rhyme","f1.png","NULL"
"6",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",14,0,"fillers","NULL","Selector","answer-alt","Selection","IT",1651000310780,"f_rhyme","f1_f_rhyme","f1.png","IT;alt1;alt2"
"7",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",14,0,"fillers","NULL","PennController","19","_Trial_","End",1651000312912,"f_rhyme","f1_f_rhyme","f1.png","NULL"
"8",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",3,0,"experimental-trials","NULL","PennController","8","_Trial_","Start",1651000312913,"CONTROL","alcohol_control","trochaic_clean_1b.jpg","NULL"
"9",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",3,0,"experimental-trials","NULL","Selector","answer","Selection","No",1651000323503,"CONTROL","alcohol_control","trochaic_clean_1b.jpg","Yes;No"
"10",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",3,0,"experimental-trials","NULL","Selector","answer-alt","Selection","alt1",1651000341836,"CONTROL","alcohol_control","trochaic_clean_1b.jpg","alt2;alt1;IT"
"11",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",3,0,"experimental-trials","NULL","PennController","8","_Trial_","End",1651000343333,"CONTROL","alcohol_control","trochaic_clean_1b.jpg","NULL"
"12",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",31,0,"fillers","NULL","PennController","36","_Trial_","Start",1651000343334,"f_norhyme","f22_f_norhyme","f22.png","NULL"
"13",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",31,0,"fillers","NULL","Selector","answer-alt","Selection","IT",1651000361865,"f_norhyme","f22_f_norhyme","f22.png","alt1;IT;alt2"
"14",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",31,0,"fillers","NULL","PennController","36","_Trial_","End",1651000363202,"f_norhyme","f22_f_norhyme","f22.png","NULL"
"15",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",35,0,"fillers","NULL","PennController","40","_Trial_","Start",1651000363203,"f_norhyme","f26_f_norhyme","f26.png","NULL"
"16",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",35,0,"fillers","NULL","Selector","answer-alt","Selection","alt1",1651000388835,"f_norhyme","f26_f_norhyme","f26.png","alt1;alt2;IT"
"17",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",35,0,"fillers","NULL","PennController","40","_Trial_","End",1651000390140,"f_norhyme","f26_f_norhyme","f26.png","NULL"
"18",1651000826,"decefc1e3a8a8eedeaa45693ea8d643a","PennController",5,0,"experimental-trials","NULL","PennController","10","_Trial_","Start",1651000390141,"ALT-IT ONLY","warm_alt","none_clean_2a.jpg","NULL"
