Condition,Selection,rawCounts,numTrials,propSelection,lowerCI,upperCI
Original IT,IT,31,32,0.96875,0.8378,0.9992
Original IT,ALT1,0,32,0.0,0.0,0.0
Original IT,ALT2,0,32,0.0,0.0,0.0
Original IT,NULL,1,32,0.03125,0.0008,0.1222
Alternative IT,IT,20,36,0.5555555555555556,0.381,0.7206
Alternative IT,ALT1,10,36,0.2777777777777778,0.142,0.4519
Alternative IT,ALT2,3,36,0.08333333333333333,0.0175,0.2247
Alternative IT,NULL,3,36,0.08333333333333333,0.0175,0.1247
BOTH,IT,33,36,0.9166666666666666,0.7753,0.9825
BOTH,ALT1,2,36,0.05555555555555555,0.0068,0.1066
BOTH,ALT2,0,36,0.0,0.0,0.0
BOTH,NULL,1,36,0.027777777777777776,0.0007,0.1453
CONTROL,IT,11,36,0.3055555555555556,0.1635,0.4811
CONTROL,ALT1,16,36,0.4444444444444444,0.2794,0.619
CONTROL,ALT2,7,36,0.19444444444444445,0.0819,0.3602
CONTROL,NULL,2,36,0.05555555555555555,0.0068,0.1066
